tahun_kelahiran,pendidikan,status_pernikahan,pendapatan,jumlah_anak_balita,jumlah_anak_remaja,terakhir_belanja,belanja_buah,belanja_daging,belanja_ikan,belanja_kue,pembelian_diskon,pembelian_web,pembelian_toko,keluhan,tanggal_menjadi_anggota
1970,Sarjana,Rencana Menikah,64743871,0,0,15,4767,24734,,0,0,0,3,0,
1970,Sarjana,Rencana Menikah,103940349,0,0,20,40247,489252,212725,75147,1,5,3,0,
1971,SMA,Sendiri,125362633,0,0,79,4632,491420,266882,101598,2,8,1,0,
1971,,Menikah,101084256,1,1,9,,40669,24375,8489,2,4,0,0,
1961,Doktor,,,1,,84,2023,28322,14161,8092,2,3,,0,9/25/2013
1969,Sarjana,Rencana Menikah,179265014,0,0,18,202614,1488540,89837,150331,1,4,7,0,
1964,,,166012877,0,0,87,193496,1639104,79481,153429,0,,8,0,
1972,Magister,Rencana Menikah,118511501,0,1,76,8387,147903,1656,18762,3,7,6,0,
1975,SMA,Rencana Menikah,,0,0,85,202088,392865,392826,308769,7,8,4,,
1981,Sarjana,Sendiri,153648698,0,0,27,269492,788838,354629,65397,0,3,6,0,
1963,Sarjana,Menikah,83115342,1,0,60,10932,269287,272,43961,8,6,5,,
1964,Magister,Cerai,158048638,0,,31,148249,356834,325495,87396,0,2,14,0,
1962,Sarjana,Sendiri,134810362,0,1,55,70127,421606,18851,,3,6,10,0,
1983,Sarjana,Menikah,100801000,1,1,45,30345,165886,28322,22253,5,4,7,0,6/26/2014
1962,Magister,Rencana Menikah,139252000,1,1,33,18207,236691,4046,26299,4,6,4,0,12/8/2013
1968,Doktor,Rencana Menikah,60285151,1,,19,4132,5250,8737,0,3,0,3,0,
1983,Sarjana,Sendiri,145200000,0,0,73,89012,,42483,0,0,4,14,0,10/7/2012
1965,SMA,Menikah,142740411,0,1,55,196562,237350,55314,194086,1,8,7,0,
1972,Doktor,Rencana Menikah,119489000,0,1,0,4046,86989,4046,10115,1,,5,0,2/1/2014
1968,Sarjana,Rencana Menikah,165478889,0,0,14,116794,1122453,88778,62123,0,8,9,0,
1961,Sarjana,Menikah,155759715,0,0,12,147730,824981,261130,153799,0,7,7,0,
1948,Sarjana,Cerai Mati,137905000,0,0,55,6069,507773,402577,380324,2,4,11,0,9/25/2013
1970,Magister,Rencana Menikah,76917790,,0,42,54993,108696,91349,54018,3,0,4,0,
1980,Sarjana,Menikah,64200558,1,,1,9834,18265,6069,6910,0,2,6,0,
1988,Sarjana,Sendiri,40980167,0,0,1,17747,30115,20735,4827,1,0,1,0,
1959,Magister,Menikah,123904032,0,1,59,47846,598049,82214,68735,5,,5,0,
1965,SMA,Rencana Menikah,145217560,0,0,28,72667,1111647,312690,263401,3,2,8,0,
1968,SMA,Menikah,32535499,0,0,23,10643,21542,23912,11956,2,0,5,0,
1973,Sarjana,Menikah,89598614,0,0,48,15169,165346,36658,11376,5,4,6,0,
1961,Sarjana,Menikah,111160469,0,0,31,185137,875936,50000,22253,2,8,5,0,
1974,Sarjana,Cerai,184023000,1,1,27,62713,424830,70805,64736,5,5,3,0,10/10/2013
1989,SMA,Menikah,165110176,0,,15,37314,689376,56753,54170,2,3,8,0,
1958,Sarjana,Menikah,151724225,0,1,72,143092,377227,146918,78321,3,9,6,0,
1958,Doktor,,103214165,1,1,24,315,5886,11375,0,0,0,1,0,
1958,Sarjana,Menikah,62120000,1,1,41,0,14161,0,2023,1,1,2,0,7/6/2013
1981,Sarjana,Rencana Menikah,65658233,0,0,70,6888,17325,10115,10810,2,0,0,0,
1965,Magister,Menikah,,0,0,84,151019,774014,231845,1871,2,2,9,0,
1967,Sarjana,Menikah,154698970,0,0,8,191936,608813,271220,265074,0,5,5,0,
1975,Sarjana,Menikah,82605000,1,0,63,36414,216461,12138,30345,,8,4,0,8/16/2012
1951,Sarjana,Cerai,144432000,0,1,3,133518,614992,309519,283220,2,2,8,0,2/15/2013
1984,Magister,Menikah,166549533,0,0,70,38578,303014,58950,55813,2,6,5,0,
1960,Sarjana,Sendiri,152311355,0,0,16,126133,377725,108921,75094,2,9,3,0,
1985,SMP,Rencana Menikah,79813274,0,0,21,31240,296663,407527,141981,,6,5,0,
1953,Magister,Rencana Menikah,108691000,0,1,59,95081,258944,78897,151725,2,6,10,0,6/18/2013
1962,Sarjana,Sendiri,98958124,0,1,71,2384,85181,4999,3092,4,4,2,0,
1960,Doktor,Cerai Mati,134134000,0,0,1,167909,888097,161840,48552,0,2,6,0,12/8/2013
1953,Sarjana,Menikah,123436000,0,1,39,6069,390439,222530,141610,3,10,9,,2/16/2013
1985,Sarjana,Sendiri,43049118,1,0,15,21212,56635,24750,8591,3,2,0,0,
1976,SMA,Menikah,69252000,2,1,94,6069,192185,16184,0,7,4,3,0,8/25/2012
1985,SMP,Sendiri,44254244,1,0,32,15773,28527,46292,2228,0,0,1,0,
1955,Sarjana,Cerai,163836000,0,,54,22253,426853,36414,36414,1,7,4,0,5/30/2014
1966,Sarjana,Sendiri,180429710,0,0,56,307691,1851586,224091,194563,0,6,7,0,
1961,,Rencana Menikah,,1,0,90,5943,12513,8404,4733,0,3,3,0,
1983,Doktor,Menikah,183015495,0,0,41,84900,759304,103765,80010,0,8,11,0,
1971,Sarjana,Sendiri,100124761,0,1,27,,42304,7247,0,0,4,2,0,
1980,Magister,Rencana Menikah,76505389,0,0,35,68345,106560,108441,55620,2,0,4,0,
1972,SMA,Menikah,128511870,0,0,50,16113,344346,23036,18476,3,7,10,0,
1970,Sarjana,Menikah,34488715,1,0,53,0,,7534,7195,2,1,0,0,
1957,Sarjana,Menikah,143445859,,0,59,154465,856093,110940,78233,1,8,6,0,
1978,SMA,Sendiri,54487153,0,0,61,53505,226637,67080,41739,1,5,4,0,
1971,Magister,Menikah,122490227,,1,26,17057,231295,71366,53547,2,8,11,0,
1959,Magister,Cerai,157459822,0,,56,49334,665140,76171,21730,0,5,8,0,
1965,Sarjana,Rencana Menikah,131453701,0,1,102,130282,208150,37158,91141,2,5,5,0,
1978,Sarjana,Sendiri,49576627,1,,8,17963,33509,,24913,1,3,2,0,
1988,Sarjana,Sendiri,139144963,0,0,16,14535,913496,332146,108118,0,3,6,0,
1987,Sarjana,Sendiri,173402108,0,0,82,94563,340979,70063,27040,0,4,12,0,
1965,Sarjana,Rencana Menikah,125225906,0,1,70,6586,114444,2771,3926,0,5,6,0,
1979,Sarjana,Menikah,78034723,0,0,14,288,26202,1152,1729,1,3,2,0,
1986,Sarjana,Rencana Menikah,81456338,1,0,14,59210,74859,,31360,3,4,3,0,
1966,Sarjana,,,0,1,22,75131,,156520,207058,3,8,7,0,
1971,Sarjana,Sendiri,48653057,0,0,14,17169,31296,24173,22321,1,4,2,0,
1966,Magister,Rencana Menikah,115264384,0,1,39,3670,59352,0,750,4,5,7,0,
1955,Magister,Rencana Menikah,153118673,0,0,54,239478,500304,300275,19560,0,10,6,0,
1967,Sarjana,Sendiri,94439965,0,1,21,7437,49920,7579,0,4,4,4,0,
1974,Sarjana,Rencana Menikah,165152687,0,0,33,298601,1265873,243718,107451,0,3,7,0,
1968,Sarjana,Rencana Menikah,80801013,1,0,28,4148,188214,8353,30185,4,5,2,0,
1963,Sarjana,Menikah,125242504,0,1,,2676,59973,0,,0,6,6,0,
1977,SMA,Sendiri,147845000,0,0,64,116858,,101103,63879,,2,6,0,
1956,Magister,Rencana Menikah,134410000,0,1,3,54621,430899,165886,62713,1,3,10,0,1/22/2014
1976,SMA,Menikah,113168798,0,1,2,14161,,34109,22170,5,0,5,0,
1959,SMA,Menikah,166477427,0,0,53,134325,1678551,296444,235805,0,,10,,
1981,Sarjana,Menikah,77980810,0,0,9,5030,24622,20120,30181,1,3,0,0,
1986,Doktor,Menikah,133108000,0,0,97,265013,1551641,309519,74851,1,3,4,0,9/1/2012
1971,Magister,Rencana Menikah,167678247,0,0,67,83333,1214741,153035,132167,1,4,6,0,
1953,Magister,Rencana Menikah,134855658,0,1,68,9727,116474,12913,7781,3,4,7,0,
1968,SMA,Rencana Menikah,29653405,1,0,75,5162,14857,10357,9030,,3,3,0,
1989,Magister,Rencana Menikah,135689136,0,0,55,6890,942933,158158,100565,1,7,10,0,
1997,SMA,Menikah,15820000,0,0,20,36414,30345,26299,46529,4,6,2,0,11/11/2012
1943,Magister,Rencana Menikah,194849608,0,0,,82830,1443185,122010,30707,0,6,5,0,
1972,Doktor,Sendiri,112510000,0,1,75,18207,99127,,2023,1,5,7,0,12/10/2012
1959,Doktor,Menikah,112622189,0,1,83,10176,318738,56644,50950,9,3,14,0,
1964,Magister,Cerai,158114667,0,0,29,145539,447405,306395,92448,0,2,13,0,
1949,Doktor,Menikah,97964000,,1,6,,18207,4046,10115,3,4,1,0,
1969,Magister,Cerai,53410000,1,0,89,6069,36414,0,2023,0,5,3,,4/23/2014
1962,Sarjana,Rencana Menikah,63919762,0,0,,53107,231347,94641,71113,1,5,4,0,
1978,Magister,Sendiri,63768271,1,0,52,9080,23103,5080,0,1,1,3,0,
1974,Sarjana,Menikah,50670568,1,0,41,1505,19850,0,14161,3,2,1,0,
1975,Sarjana,Rencana Menikah,118141142,0,0,48,42608,119451,45711,17106,5,8,5,0,
1964,Sarjana,Menikah,96037000,0,,86,32368,133518,20230,16184,2,7,5,,10/22/2013
1961,Doktor,Rencana Menikah,106871776,0,1,29,22022,331544,28960,17746,,6,4,0,
1979,Sarjana,Rencana Menikah,,0,0,12,19006,12138,1957,24586,,3,2,0,
1967,Sarjana,Sendiri,122913000,0,0,18,319634,756602,459221,40460,0,2,,0,8/10/2012
1971,Sarjana,Menikah,143287573,0,1,83,118775,158513,78750,48262,3,7,7,,
1974,Sarjana,Menikah,78954000,1,1,26,4046,,2023,10115,1,3,2,0,3/18/2014
1975,SMA,Menikah,69749836,1,0,30,3634,27424,7680,8055,2,3,4,0,
1977,Magister,Rencana Menikah,116304629,0,0,38,90077,162895,114595,54263,2,5,5,0,
1988,SMP,Sendiri,18341000,1,0,23,91035,0,0,10115,1,3,5,0,8/24/2012
1975,SMA,Sendiri,92902079,0,1,85,187602,371282,360185,285450,7,8,4,0,
1972,Sarjana,Menikah,152466655,0,1,,75582,416659,,33937,0,,10,0,
1990,Sarjana,Sendiri,84200000,1,0,39,32368,194208,38437,22253,3,6,5,0,4/16/2014
1978,SMA,Menikah,191378000,0,0,9,48552,,111265,210392,0,8,8,0,5/22/2014
1988,Sarjana,Rencana Menikah,81570000,1,0,10,64736,80920,155771,34391,4,5,,0,3/16/2013
1983,Sarjana,Rencana Menikah,149364939,0,0,84,132648,725829,70574,157550,1,7,6,0,
1964,Sarjana,Menikah,151818769,0,1,,100292,,154274,80328,2,8,8,0,
1972,Doktor,Rencana Menikah,143382000,0,0,4,173978,1122765,117334,20230,0,2,5,0,9/30/2013
1963,Doktor,Rencana Menikah,129846591,0,1,35,19566,210963,1437,0,5,5,6,0,
1970,Sarjana,Sendiri,84356696,1,1,41,18417,150279,11069,29285,5,4,5,0,
1962,Magister,Sendiri,206236000,0,0,20,,1434307,242760,236691,0,5,11,0,2/20/2014
1967,Magister,Rencana Menikah,64436740,0,0,55,17270,276339,129388,27138,1,5,,0,
1947,Magister,,193057223,0,0,74,110498,1498546,117707,41732,0,6,5,0,
1964,Sarjana,Rencana Menikah,159479384,0,0,83,17267,1292719,323108,79551,2,8,,0,
1963,Sarjana,,87090000,1,1,88,,40460,6069,2023,2,0,5,0,8/23/2013
1991,Sarjana,,36616831,0,0,77,14401,29042,33189,4286,0,5,3,0,
1980,Sarjana,Rencana Menikah,44721000,1,0,45,,8092,0,0,0,0,4,0,6/20/2013
1971,Magister,Rencana Menikah,117015804,0,1,47,12515,223145,23516,21873,6,,10,0,
1977,SMA,,170993000,0,1,18,30345,635222,398531,46529,1,13,12,0,3/22/2014
1986,SMA,Sendiri,83360000,1,0,87,14161,34391,26299,0,0,4,5,0,
1969,,Sendiri,105266775,0,0,54,16726,201896,81830,30152,0,2,1,0,
1967,Sarjana,Menikah,140221582,0,0,79,83286,604068,116364,162764,0,5,9,0,
1956,Sarjana,Menikah,151701054,0,1,74,153581,362477,145115,77830,3,9,6,0,
1984,Magister,Menikah,185093066,0,0,77,135165,1523553,94451,128289,,6,9,0,
1980,Doktor,,67005000,1,0,11,6069,82943,10115,8092,0,4,3,0,11/21/2012
1983,SMA,Sendiri,49663000,1,0,79,48552,22253,8092,20230,2,1,1,0,11/14/2012
1972,SMA,Sendiri,92522800,0,0,69,141499,308542,278778,223924,6,8,4,0,
1980,Sarjana,Menikah,56643185,1,0,47,3882,17766,6558,5465,0,3,3,,
1968,Sarjana,Sendiri,106664403,0,1,68,4277,51885,4187,6532,1,0,2,0,
1985,SMA,Sendiri,104166741,0,0,43,,361475,50705,59732,6,7,3,0,
1977,,Rencana Menikah,,1,0,82,2023,6069,2023,0,2,0,1,0,5/21/2013
1986,SMA,Sendiri,104223467,0,0,42,56789,,51994,60936,6,7,3,0,
1974,Magister,Sendiri,96633970,0,0,79,52939,172329,31424,,2,2,3,0,
1966,Sarjana,Rencana Menikah,286760347,0,0,14,17582,2795597,37883,,0,,2,0,
1980,Magister,Sendiri,83989432,1,0,39,4183,79728,22111,15275,1,5,1,0,
1976,Sarjana,Rencana Menikah,164803678,0,0,36,40460,786909,103851,44546,0,,7,0,
1970,Sarjana,Sendiri,107671031,0,1,71,11711,163946,15743,6867,1,5,1,0,
1982,SMA,Sendiri,70076123,1,0,41,5493,21102,19367,2313,0,0,5,0,
1952,Sarjana,Rencana Menikah,175843036,0,,51,61689,,154870,74069,2,2,11,0,
1979,SMP,Rencana Menikah,49293114,1,0,91,6171,18207,25635,10012,1,,5,0,
1957,Sarjana,Menikah,157501000,0,0,58,54621,1438353,159817,,0,6,10,0,
1984,Magister,Menikah,185326839,0,0,78,142334,1465773,98752,140046,1,6,9,0,
1958,Magister,Menikah,121135000,0,1,72,101150,378301,99127,86989,4,3,11,0,9/11/2013
1958,Magister,Rencana Menikah,137713945,0,1,,16005,97014,23008,17095,3,5,4,0,
1957,Doktor,Menikah,137217000,0,1,57,68782,376278,6069,127449,4,4,12,0,
1988,Sarjana,Sendiri,138599702,0,0,20,3825,868950,348021,119795,0,3,6,0,
1950,Sarjana,Menikah,101861000,0,1,59,32368,127449,,44506,1,4,8,0,5/27/2014
1971,Sarjana,Menikah,149722000,0,0,19,182070,839545,238714,0,0,4,9,0,10/29/2012
1962,Magister,Rencana Menikah,163264789,0,1,77,71981,623363,184618,70805,1,6,4,0,
1962,Sarjana,Rencana Menikah,181434000,0,0,26,366163,1128834,147679,279174,0,1,8,0,7/3/2013
1966,Sarjana,Rencana Menikah,81330070,1,0,37,5725,214403,6145,,5,,2,0,
1952,SMA,Menikah,132028223,0,0,27,153911,1656121,17004,49683,3,7,,0,
1965,Sarjana,,85508180,1,1,11,4006,193358,48097,60176,8,7,5,0,
1971,Doktor,Menikah,117067000,0,1,68,22253,,32368,26299,7,,13,0,3/5/2013
1946,Magister,Menikah,,0,0,14,58667,386393,70805,32368,1,7,,0,9/25/2013
1971,SMA,Rencana Menikah,119004018,0,0,38,53460,235705,149844,115101,0,11,,0,
1969,SMA,Rencana Menikah,94771669,0,1,31,,41830,6937,11078,1,1,3,0,
1955,SMA,Rencana Menikah,,0,0,11,264007,1650732,,21197,,4,7,0,
1964,Sarjana,Rencana Menikah,126507112,,1,40,77969,380825,86678,74906,5,4,4,0,
1980,,Rencana Menikah,70979000,1,0,59,0,60690,28322,0,3,1,4,0,12/6/2013
1977,Sarjana,Rencana Menikah,78434108,1,0,12,0,53165,4088,5840,1,3,2,0,
1969,Magister,Sendiri,126376734,0,0,73,45979,869571,131584,124354,,2,8,0,
1983,SMA,Rencana Menikah,119453672,0,1,28,59390,210928,188402,145441,,11,7,,
1953,Magister,Sendiri,139098190,1,1,10,37152,250053,67538,19617,4,7,2,0,
1987,Sarjana,Sendiri,64040000,1,0,7,12138,34391,6069,0,2,2,2,0,12/27/2012
1980,SMA,,119907673,0,1,25,61059,221993,191638,144781,0,,8,0,
1982,Sarjana,Rencana Menikah,33039256,0,0,32,3577,,13500,6771,0,0,1,0,
1980,Magister,Rencana Menikah,138345867,0,0,69,210742,616477,40393,282984,0,7,4,0,
1973,Sarjana,Sendiri,148407734,0,0,47,22766,1445811,72658,63745,2,5,9,0,
1978,Magister,Sendiri,148036476,0,0,46,38129,1725669,80756,100019,1,4,,,
1957,Magister,Rencana Menikah,9967649,0,1,34,905,17514,6494,10807,2,12,0,0,
1979,Sarjana,Menikah,81850482,1,1,29,122,11400,5700,368,2,2,1,0,
1965,Sarjana,Rencana Menikah,40338927,,0,40,6581,46626,13210,7336,3,3,0,0,
1980,SMA,Menikah,57809943,2,,50,14819,22488,,25381,1,0,1,0,
1966,Magister,Cerai,172219051,0,0,42,182164,785603,235985,184756,0,4,6,0,
1975,,Menikah,78383475,1,0,54,20961,31228,721,32235,1,2,2,0,
1967,Sarjana,Rencana Menikah,138202129,0,1,97,28331,103177,40726,24028,4,6,6,0,
1977,Sarjana,Menikah,44451871,1,0,6,17620,27055,12045,2949,2,1,3,0,
1966,Sarjana,Rencana Menikah,115796781,0,1,29,3116,45599,389,3266,3,6,7,0,
1962,SMP,Menikah,59068000,0,0,76,18207,20230,0,30345,3,2,4,0,6/12/2014
1963,Sarjana,Menikah,132364000,1,1,71,16184,182070,6069,28322,2,,6,0,4/22/2013
1975,Magister,Menikah,172897000,1,0,57,117334,564417,97104,0,0,7,10,0,10/2/2012
1955,Magister,Sendiri,96498001,0,1,28,12803,347760,44856,66038,5,10,6,0,
1975,Sarjana,Sendiri,75793000,1,1,46,2023,38437,0,0,2,4,4,1,12/1/2013
1969,Sarjana,Sendiri,,0,0,49,29932,538378,27622,39397,4,1,9,0,
1954,Doktor,Cerai Mati,72795000,1,1,6,4046,16184,8092,12138,2,0,3,0,6/26/2014
1957,Sarjana,Sendiri,152401838,0,0,6,146130,343885,95462,73171,2,9,2,0,
1990,SMP,Sendiri,79764739,0,0,,40274,376412,526451,,2,6,5,0,
1945,Sarjana,Rencana Menikah,,0,0,63,,1644699,341887,107219,3,3,10,0,8/24/2013
1955,Sarjana,Rencana Menikah,110516961,0,0,61,42079,255275,31132,2049,5,9,8,0,
1954,Sarjana,Menikah,145938000,0,1,51,248829,560371,97104,246806,3,5,11,0,3/27/2013
1962,SMA,Rencana Menikah,139668509,0,0,,193909,441155,221267,262302,0,7,5,0,
1974,SMA,Rencana Menikah,55282661,1,0,38,6069,13402,35908,0,2,0,1,0,
1967,SMA,Rencana Menikah,66119777,0,0,23,202316,189466,219854,26370,3,3,5,0,
1977,Sarjana,Menikah,72778806,1,1,78,19307,41027,29812,8482,0,4,3,0,
1971,SMP,Rencana Menikah,19902071,1,0,5,33037,22650,11939,33633,1,1,,,
1983,Doktor,Menikah,182841275,0,0,30,83648,413530,115027,88352,0,8,11,0,
1964,Doktor,Menikah,178766000,,0,98,208369,1628515,40460,129472,0,6,8,0,11/22/2013
1966,Sarjana,Menikah,153481000,0,0,24,307496,1167271,194208,101150,3,4,,0,6/6/2014
1960,Sarjana,Sendiri,67925741,0,1,48,4628,42759,19831,9195,2,0,2,0,
1968,Magister,Menikah,78123000,0,1,90,34391,62713,34391,30345,4,5,6,0,3/26/2013
1977,,Menikah,172046172,0,0,66,74057,1578492,103681,214636,1,5,8,0,
1965,Sarjana,Menikah,152432745,0,1,41,123116,343164,228610,26012,1,10,9,,
1980,,Rencana Menikah,118224028,0,0,13,56346,147083,103746,13381,0,0,6,0,
1973,Magister,Sendiri,79407023,1,0,5,2007,103700,11752,16215,1,,0,0,
1969,,Rencana Menikah,94362575,0,1,17,2386,44869,509,0,4,4,5,0,
1947,Doktor,Menikah,,0,0,84,48552,1571871,287266,0,0,9,8,0,2/15/2013
1973,Magister,Sendiri,78905135,0,0,2,8725,34900,9667,12509,2,3,0,0,
1985,Sarjana,,156697513,0,0,43,11478,651173,22191,,,0,8,0,
1950,Magister,Menikah,134235565,0,1,15,6210,90793,23051,1035,3,,7,0,
1958,Sarjana,Menikah,,0,0,56,40071,251006,84814,66010,,10,5,0,
1954,Sarjana,Sendiri,82437488,0,0,9,5589,120240,7889,4071,4,,7,0,
1965,Sarjana,Menikah,78433162,1,1,52,2215,10069,3853,5537,1,2,2,0,
1980,Sarjana,Rencana Menikah,146739000,0,0,27,220507,845614,289289,202300,0,2,4,0,
1976,Doktor,Rencana Menikah,142191326,0,0,15,63799,1174149,105943,128745,1,5,7,0,
1994,SMA,Sendiri,178772907,0,0,74,157865,1211343,128707,212843,2,5,10,0,
1966,Magister,Rencana Menikah,123392715,0,1,20,62185,543745,79750,76634,9,8,8,0,
1954,Magister,Rencana Menikah,78770569,0,1,60,1871,14767,455,0,0,2,0,0,
1975,,Menikah,84079903,1,0,72,2583,14908,1836,,0,0,2,0,
1954,Sarjana,Rencana Menikah,146682276,0,0,4,,435657,51165,14848,0,9,8,0,
1957,SMA,Menikah,166719220,0,,35,103526,1699084,409371,278681,0,8,11,0,
1959,Sarjana,Sendiri,166101000,1,1,45,271082,811223,204323,42483,5,10,13,1,1/6/2013
1972,Sarjana,Menikah,86094046,0,0,78,8509,154313,7696,12055,5,7,4,0,
1951,Sarjana,Sendiri,163226000,0,0,68,34391,1432284,80920,99127,0,8,10,0,6/4/2013
1980,SMP,Sendiri,32391000,1,1,41,18207,14161,24276,14161,2,1,4,0,3/19/2013
1982,SMA,Menikah,125509626,0,2,36,32060,,66388,93422,0,1,5,0,
1956,Sarjana,Menikah,76774000,0,1,92,0,16184,14161,0,1,0,4,0,2/21/2014
1969,Magister,Rencana Menikah,143056648,,0,16,140826,1496531,147254,244456,0,3,9,0,
1975,Sarjana,Rencana Menikah,78675624,0,0,4,8073,32295,13248,18369,,3,0,0,
1961,Magister,Sendiri,151009319,1,1,48,167249,544945,,42848,1,6,12,0,
1975,,Rencana Menikah,165791184,0,0,35,69871,801369,191513,44780,2,1,11,0,
1964,Sarjana,Cerai,170188431,0,0,71,102575,1844557,128866,206140,0,3,4,0,
1947,Sarjana,,146035719,0,0,4,51522,519132,66856,22380,0,11,7,0,
1953,Sarjana,Menikah,73221000,0,1,0,6069,89012,2023,4046,4,4,2,,4/24/2014
1988,Sarjana,Sendiri,39955102,0,0,1,14957,22582,17666,3432,1,0,1,0,
1962,Sarjana,Menikah,141869834,,0,20,270397,434611,110111,32317,3,8,13,0,
1964,Sarjana,Sendiri,152612687,0,0,13,,342620,178138,38413,1,10,,0,
1974,Sarjana,Cerai,50690000,1,0,54,2023,14161,0,14161,3,2,1,0,10/15/2012
1983,Sarjana,Menikah,77035000,1,0,29,22253,125426,38437,0,1,2,6,0,2/12/2013
1982,Sarjana,Sendiri,37466120,0,0,8,6738,11829,,676,0,0,2,0,
1960,Sarjana,Rencana Menikah,27233181,1,1,90,5589,12777,8251,4365,0,2,3,0,
1957,Sarjana,Menikah,151910967,,1,,157282,336870,170167,60178,3,10,7,0,
1989,Sarjana,Rencana Menikah,184496026,0,0,93,305283,1231065,208098,204732,1,3,6,0,
1955,Sarjana,Sendiri,99065808,1,1,95,23600,101806,31950,,5,3,5,0,
1976,Sarjana,Sendiri,55927797,1,0,52,4288,63763,26703,,2,0,5,0,
1967,Sarjana,Menikah,85985198,0,1,79,10182,36819,8362,12543,,1,3,0,
1981,SMP,Rencana Menikah,27158120,0,0,40,,21974,24710,23760,0,0,,,
1952,Sarjana,Rencana Menikah,172870860,0,0,19,,865323,164061,278366,1,2,11,0,
1962,SMA,,118235000,0,1,30,72828,157794,123403,107219,2,10,6,0,11/18/2013
1968,Magister,Rencana Menikah,116744949,0,1,63,2385,82481,0,3320,2,2,10,,
1958,Magister,Rencana Menikah,160592694,0,0,52,51824,870960,,56057,1,2,7,0,
1982,Magister,Sendiri,,1,0,21,2847,172935,24202,0,,6,5,0,
1950,Doktor,Cerai,98891000,0,2,8,22253,200277,66759,42483,5,5,6,0,10/31/2012
1969,Magister,Rencana Menikah,133230000,0,1,77,56644,301427,56644,18207,0,3,10,0,12/7/2013
1963,Sarjana,,180220249,0,0,40,208607,1565931,152414,101804,2,6,7,0,
1942,Magister,Cerai Mati,101865000,0,0,78,254898,989247,337841,252875,0,4,12,0,10/30/2013
1972,Doktor,Sendiri,69191000,1,1,30,0,26299,12138,2023,,0,0,0,5/22/2014
1970,Sarjana,Menikah,120617502,0,1,97,20316,228111,34161,9971,2,5,8,0,
1961,,,114231000,0,1,40,10115,283220,0,2023,7,3,7,0,3/1/2013
1952,Magister,Menikah,138136580,0,1,67,21946,116690,1112,3559,,9,3,0,
1977,,Rencana Menikah,45959126,1,0,18,13448,,33505,3390,2,0,1,0,
1961,Sarjana,Menikah,109941036,0,0,10,39812,255021,54041,13248,5,6,5,0,
1966,SMA,,138914147,0,0,66,128336,304058,,164810,2,7,6,0,
1956,Sarjana,Rencana Menikah,109345748,0,1,64,29288,233520,20638,0,6,9,7,0,
1960,Sarjana,Sendiri,171688806,0,0,55,84618,582729,110524,314299,2,,11,0,
1963,Sarjana,Rencana Menikah,109718896,0,1,12,17599,245398,11999,34668,6,,7,0,
1959,Doktor,Rencana Menikah,,1,1,18,8122,33484,1026,0,4,2,1,0,
1989,Doktor,Sendiri,82423000,0,0,20,,546210,173978,119357,2,2,10,0,1/12/2013
1957,SMA,Rencana Menikah,170553920,0,0,59,74562,966855,206053,59534,1,7,6,0,
1984,Sarjana,Menikah,167010983,0,0,29,223259,1418531,59071,346257,1,3,7,0,
1985,SMP,Sendiri,49473000,1,0,19,12138,2023,8092,22253,0,0,1,0,1/20/2014
1980,SMA,Rencana Menikah,29784177,,0,28,4309,27061,7828,34000,1,2,4,0,
1948,,Cerai,161153986,0,,40,38751,1178885,336061,48866,4,,10,0,
1961,Sarjana,Rencana Menikah,153959336,0,0,37,97044,623841,79635,76957,2,7,7,0,
1958,Sarjana,Rencana Menikah,112328797,0,1,5,11174,60043,4789,853,3,5,8,0,
1979,Sarjana,Sendiri,186572678,0,0,76,168349,1828611,67139,73445,1,4,9,0,
1973,Doktor,Menikah,,1,0,65,0,12138,0,4046,0,1,3,0,9/19/2013
1969,Sarjana,Sendiri,107066735,0,1,,7994,109582,9703,,0,3,1,0,
1929,Doktor,Sendiri,103966386,0,0,100,7252,190,2958,1774,0,2,,0,
1961,Doktor,Sendiri,146841000,0,0,75,101150,801108,30345,,1,4,10,0,11/18/2013
1967,Sarjana,Sendiri,94453399,,1,21,8313,50796,8807,0,4,,4,0,
1972,,Menikah,152496968,0,1,35,77377,410927,232135,31106,0,8,10,0,
1961,Sarjana,Sendiri,166212975,0,0,87,,1862833,88638,160069,0,5,10,0,
1953,Magister,,85027132,1,,32,0,71056,7415,8092,4,2,2,,
1957,Magister,Menikah,106777000,0,1,90,4046,155771,20230,,8,8,11,0,11/9/2012
1975,Doktor,Menikah,57361000,1,0,27,4046,6069,0,,4,1,2,0,
1970,SMP,Rencana Menikah,18803000,1,0,6,36414,22253,12138,36414,2,1,4,,10/5/2012
1963,Sarjana,Sendiri,36136000,1,1,98,4046,4046,18207,8092,,5,5,0,6/2/2013
1971,Doktor,Menikah,90630000,1,1,60,4046,89012,20230,16184,9,4,6,0,8/20/2013
1945,Magister,Rencana Menikah,164271483,0,0,69,196879,1506851,11708,85072,,1,7,,
1977,Doktor,Menikah,154446000,0,0,8,72828,1039822,396508,186116,2,3,5,0,1/10/2013
1974,Sarjana,Rencana Menikah,53774030,1,0,42,593,15946,949,712,3,0,,0,
1957,Sarjana,Menikah,30289000,0,0,17,0,2023,12138,2023,0,0,0,0,9/7/2013
1961,,Sendiri,152552338,0,0,10,132551,341139,151764,49081,2,10,4,,
1973,SMA,Menikah,46945453,1,0,72,13652,40946,21755,1017,2,2,4,0,
